Country name,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank
Uruguay,Latin America and Caribbean,6.49389982223511,22845.5,0.913208961486816,67.5,0.89520001411438,-0.0646173283457756,0.574579119682312,6.92,10.82,3.38,51.73,77.98,39.7
Slovakia,Central and Eastern Europe,6.46859979629517,31364.55,0.952560603618622,68.8378372192383,0.753227889537811,-0.0164425987750292,0.897835910320282,11.06,17.26,5.3,30.37,76.74,
Saudi Arabia,Middle East and North Africa,6.46260023117065,45046.53,0.883869171142578,64.399299621582,0.893814980983734,-0.0806520581245422,0.691308975219727,0.0,0.0,0.0,25.23,75.34,
Estonia,Central and Eastern Europe,6.4552001953125,37848.17,0.945625901222229,69.6501693725586,0.928790748119354,0.0317642949521542,0.40946701169014,10.75,17.35,5.06,23.71,77.71,30.3
Spain,Western Europe,6.43620014190674,37808.92,0.931739926338196,72.3499755859375,0.782114565372467,-0.0659279972314835,0.710518538951874,12.67,19.94,5.76,33.32,79.66,34.7
Italy,Western Europe,6.40450000762939,41525.02,0.881569504737854,72.0500030517578,0.710513591766357,-0.0735428035259247,0.841753900051117,8.01,12.74,3.61,44.85,80.9,35.9
Kosovo,Central and Eastern Europe,6.36759996414185,11603.91,0.843792796134949,65.1949920654297,0.861473560333252,0.25871667265892,0.866122901439667,,,,,,
Chile,Latin America and Caribbean,6.33379983901978,24685.51,0.88913106918335,70.2998275756836,0.792262017726898,-0.0110291121527553,0.822749853134155,8.95,13.74,4.36,53.42,76.06,44.4
Mexico,Latin America and Caribbean,6.32950019836426,18950.81,0.804008066654205,65.8000030517578,0.85622364282608,-0.0935604721307755,0.768350720405579,5.05,8.13,2.18,54.19,73.09,45.4
Malta,Western Europe,6.29990005493164,42653.55,0.922677516937256,71.6000366210938,0.885637521743774,0.119314983487129,0.728866159915924,8.27,12.88,3.69,40.39,80.54,28.7
Panama,Latin America and Caribbean,6.2645001411438,29883.43,0.896301090717316,68.9502716064453,0.855096340179443,-0.133390426635742,0.878297388553619,7.77,12.23,3.36,45.15,75.1,49.8
Poland,Central and Eastern Europe,6.25969982147217,34646.15,0.925056576728821,69.0489196777344,0.765491843223572,-0.0309511870145798,0.735566556453705,11.89,18.65,5.65,30.5,76.31,30.2
Nicaragua,Latin America and Caribbean,6.25880002975464,5528.59,0.852812230587006,65.6495666503906,0.877430200576782,0.0209305360913277,0.625008940696716,5.07,8.31,2.02,47.89,72.1,46.2
Latvia,Central and Eastern Europe,6.21269989013672,31898.72,0.93712842464447,66.4003677368164,0.817607343196869,-0.055582482367754,0.83025199174881,13.19,21.61,6.31,38.77,74.52,35.1
Bahrain,Middle East and North Africa,6.17320013046265,47847.86,0.843845427036285,65.8249969482422,0.943972587585449,0.117025144398212,0.736698567867279,1.13,1.54,0.32,25.64,76.24,
Guatemala,Latin America and Caribbean,6.15030002593994,9097.08,0.811733901500702,62.9000015258789,0.855967521667481,-0.0572603940963745,0.836575746536255,1.63,2.63,0.69,58.67,68.33,48.3
Kazakhstan,Commonwealth of Independent States,6.14389991760254,26005.57,0.931446969509125,65.8017349243164,0.853236615657806,-0.0004826637741643,0.721460282802582,5.0,8.33,2.02,53.77,72.23,27.8
Serbia,Central and Eastern Europe,6.14359998703003,19033.96,0.873047649860382,67.0876159667969,0.845036029815674,0.203995332121849,0.816429853439331,8.85,14.09,3.93,38.1,71.93,36.2
Cyprus,Western Europe,6.13000011444092,40587.12,0.826080739498138,72.8019409179688,0.723873674869537,-0.0600265711545944,0.859785974025726,10.8,16.92,4.76,31.28,79.23,32.7
Japan,East Asia,6.12900018692017,40768.21,0.894116461277008,74.3494644165039,0.799495100975037,-0.236936539411545,0.639916062355042,10.09,15.58,4.93,22.19,86.5,32.9
Croatia,Central and Eastern Europe,6.125,30968.92,0.91718065738678,68.9499816894531,0.757123351097107,-0.0926464051008225,0.925282835960388,8.73,13.96,3.99,24.59,75.74,29.7
Brazil,Latin America and Caribbean,6.12459993362427,14504.11,0.836276650428772,65.7487106323242,0.801328539848328,-0.0093699628487229,0.737685143947601,7.32,11.65,3.22,67.49,71.68,53.4
El Salvador,Latin America and Caribbean,6.12160015106201,8858.35,0.754742801189423,65.5969161987305,0.917532086372376,-0.107904955744743,0.619613468647003,4.09,6.91,1.75,67.79,69.35,38.8
Hungary,Central and Eastern Europe,6.04120016098023,33479.28,0.942637324333191,67.5004501342773,0.757816672325134,-0.0591716542840004,0.838859975337982,11.07,17.66,5.24,34.36,76.7,29.6
Argentina,Latin America and Caribbean,6.02370023727417,21137.16,0.890890061855316,67.200080871582,0.822678208351135,-0.0894799306988716,0.814013361930847,9.45,14.66,4.64,63.82,74.45,42.9
Honduras,Latin America and Caribbean,6.02250003814697,5626.45,0.765569388866425,64.0630111694336,0.842606484889984,0.0973521620035172,0.842901051044464,3.93,6.34,1.57,74.54,69.1,48.2
Uzbekistan,Commonwealth of Independent States,6.01429986953735,7695.62,0.874754011631012,65.3005142211914,0.937914907932282,0.229531764984131,0.638172388076782,2.61,4.48,0.79,33.42,76.28,35.3
Malaysia,Southeast Asia,6.01230001449585,26084.21,0.798607647418976,65.6623382568359,0.876727819442749,0.15958733856678,0.758468866348267,0.93,1.48,0.35,57.29,77.35,41.1
Portugal,Western Europe,5.96799993515015,33814.76,0.877972424030304,71.2503967285156,0.902433216571808,-0.196075186133385,0.878076314926148,12.09,19.51,5.59,29.91,77.44,33.5
South Korea,East Asia,5.95109987258911,44032.12,0.811611592769623,73.6501846313477,0.716827094554901,-0.0462142340838909,0.701178550720215,8.45,12.76,4.17,26.68,84.8,31.4
Greece,Western Europe,5.93090009689331,29382.53,0.834951400756836,71.1497650146484,0.567921817302704,-0.239567920565605,0.793221831321716,10.5,16.72,4.6,45.85,77.43,32.9
Mauritius,Sub-Saharan Africa,5.90229988098145,21103.64,0.888333261013031,63.8501243591309,0.812942683696747,-0.0282245129346848,0.774905681610107,4.78,7.67,2.0,48.88,71.86,36.8
Thailand,Southeast Asia,5.84299993515015,17179.51,0.873507440090179,68.4496459960938,0.850337624549866,0.288653165102005,0.910390675067902,8.5,13.75,3.61,39.35,78.92,34.9
Mongolia,East Asia,5.84019994735718,11759.56,0.93282687664032,60.4999313354492,0.701162934303284,0.190460965037346,0.848721504211426,5.9,9.23,2.72,56.01,66.74,32.7
Kyrgyzstan,Commonwealth of Independent States,5.82530021667481,4845.63,0.911150336265564,66.8524703979492,0.93429297208786,0.181351095438004,0.903790533542633,4.85,8.38,1.51,56.87,72.46,29.7
Moldova,Commonwealth of Independent States,5.81920003890991,13343.38,0.85663503408432,65.2990646362305,0.839715778827667,-0.0800843685865402,0.900856614112854,12.85,20.61,5.89,46.35,70.57,25.7
China,East Asia,5.81790018081665,16950.72,0.835698485374451,68.6887969970703,0.881891191005707,-0.0407825037837029,0.727227985858917,6.04,9.37,2.6,30.14,83.11,38.5
Vietnam,Southeast Asia,5.7632999420166,10796.08,0.821142971515656,65.5024185180664,0.938640594482422,-0.0036427439190447,0.758844077587128,7.93,12.84,3.19,46.19,76.99,35.7
Paraguay,Latin America and Caribbean,5.73780012130737,13490.25,0.906064331531525,65.8998718261719,0.890843212604523,0.0207431670278311,0.842590391635895,7.01,10.96,2.94,49.37,70.84,45.7
Montenegro,Central and Eastern Europe,5.7221999168396,18262.24,0.88960599899292,67.0999984741211,0.80499804019928,0.063483290374279,0.844438254833221,12.24,19.51,5.3,41.18,68.44,38.5
Jamaica,Latin America and Caribbean,5.70270013809204,9552.91,0.867314040660858,66.5999984741211,0.822379052639008,-0.106256932020187,0.875067234039307,4.16,6.71,1.69,67.42,73.83,45.5
Bolivia,Latin America and Caribbean,5.6842999458313,7979.28,0.811341524124146,63.5989418029785,0.868363440036774,-0.0627197548747063,0.845795691013336,3.91,6.0,1.84,57.77,66.02,41.6
Russia,Commonwealth of Independent States,5.66069984436035,27166.73,0.888661682605743,64.947265625,0.719370841979981,-0.0303580816835165,0.801419675350189,10.5,17.99,4.31,39.99,71.38,37.5
Bosnia and Herzegovina,Central and Eastern Europe,5.63250017166138,14999.37,0.880300462245941,67.275032043457,0.746143400669098,0.206407099962235,0.917537808418274,7.81,12.95,2.96,,70.5,33.0
Colombia,Latin America and Caribbean,5.63040018081665,14536.67,0.821668982505798,69.3496856689453,0.804261684417725,-0.104314588010311,0.83354651927948,5.45,8.84,2.27,56.87,77.78,51.3
Dominican Republic,Latin America and Caribbean,5.5689001083374,18225.77,0.827063620090485,64.3989639282227,0.850022792816162,-0.09879419952631,0.656794726848602,6.68,10.62,2.8,61.02,70.64,41.9
Ecuador,Latin America and Caribbean,5.55889987945557,10616.99,0.805753648281097,69.0002212524414,0.802229523658752,-0.107672855257988,0.832565784454346,3.27,5.01,1.56,55.23,71.8,45.7
Peru,Latin America and Caribbean,5.52589988708496,12106.75,0.797964990139008,69.8498382568359,0.794370114803314,-0.118852138519287,0.891711831092835,6.78,10.41,3.24,66.72,75.81,41.5
Philippines,Southeast Asia,5.52290010452271,7932.57,0.779932141304016,62.0375175476074,0.918547570705414,-0.0598896220326424,0.732090592384338,7.02,11.22,2.87,42.46,70.06,42.3
