Country,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Alcohol consumption Both Sexes (L/year),Alcohol consumption Male (L/year),Alcohol consumption Female (L/year),Crime rate Crime Index,Healthcare Legatum Prosperity Index Health Score,Gini Coefficient - World Bank,Happiness score
Panama,Latin America and Caribbean,6.264500141,29883.43,0.896301091,68.95027161,0.85509634,-0.133390427,0.878297389,7.77,12.23,3.36,45.15,75.1,49.8,6.407
Paraguay,Latin America and Caribbean,5.737800121,13490.25,0.906064332,65.89987183,0.890843213,0.020743167,0.842590392,7.01,10.96,2.94,49.37,70.84,45.7,6.172
Peru,Latin America and Caribbean,5.525899887,12106.75,0.79796499,69.84983826,0.794370115,-0.118852139,0.891711831,6.78,10.41,3.24,66.72,75.81,41.5,5.947
Uruguay,Latin America and Caribbean,6.493899822,22845.5,0.913208961,67.5,0.895200014,-0.064617328,0.57457912,6.92,10.82,3.38,51.73,77.98,39.7,6.661
Venezuela,Latin America and Caribbean,5.210599899,251.32,0.838825405,64.04983521,0.658706963,0.128371239,0.811434984,3.56,5.72,1.51,83.76,69.61,44.8,5.683
Algeria,Middle East and North Africa,5.329100132,10940.36,0.855219007,66.54923248,0.571240425,-0.117374033,0.716906428,0.63,1.09,0.17,52.03,73.22,27.6,5.571
Bahrain,Middle East and North Africa,6.17320013,47847.86,0.843845427,65.82499695,0.943972588,0.117025144,0.736698568,1.13,1.54,0.32,25.64,76.24,,6.03
Egypt,Middle East and North Africa,4.170499802,11693.94,0.726098895,63.5030365,0.732426107,-0.182905942,0.58024621,0.14,0.24,0.037,46.83,67.2,31.5,3.817
Iran,Middle East and North Africa,4.876299858,14917.99,0.7775473,66.59994507,0.592562199,0.172932804,0.747031271,1.01,1.76,0.25,49.38,74.93,42,5.093
Iraq,Middle East and North Africa,4.940899849,8941.27,0.718452811,63.41473389,0.645771205,-0.005399684,0.876264036,0.37,0.64,0.1,48.42,64.62,29.5,4.976
Israel,Middle East and North Africa,7.472899914,41718.72,0.943343997,72.69720459,0.808865845,-0.023080051,0.708093584,4.38,6.84,2.02,31.47,83.1,39,7.234
Jordan,Middle East and North Africa,4.119800091,9231.54,0.729218423,67.59999847,0.770127714,-0.149884924,0.68720156,0.52,0.89,0.14,39.96,68.92,33.7,4.31
Lebanon,Middle East and North Africa,2.392199993,13064.81,0.529753685,66.14881897,0.473900288,-0.140914991,0.891103864,1.53,2.58,0.49,46.77,68.65,31.8,3.188
Morocco,Middle East and North Africa,4.902800083,7887.75,0.553110123,63.90077591,0.787282586,-0.230783731,0.810825348,0.49,0.87,0.13,48.66,71.17,39.5,4.622
Saudi Arabia,Middle East and North Africa,6.462600231,45046.53,0.883869171,64.39929962,0.893814981,-0.080652058,0.691308975,0,0,0,25.23,75.34,,6.6
State of Palestine,Middle East and North Africa,4.907800198,6102.03,0.859494507,,0.694499791,-0.132369906,0.835794926,,,,43.74,,33.7,4.78
Tunisia,Middle East and North Africa,4.49669981,10337.85,0.729762375,67.00008392,0.576491773,-0.212603718,0.906737387,2.04,3.61,0.53,43.69,72.05,32.8,4.552
Turkiye,Middle East and North Africa,4.613500118,29935.89,0.795781732,68.66269684,0.475323915,-0.077017136,0.794897377,1.77,3.12,0.48,39.62,74.19,41.9,5.262
United Arab Emirates,Middle East and North Africa,6.571199894,69228.92,0.825512707,66.24315643,0.941783547,0.095691487,0.583792865,3.85,4.97,0.87,15.23,78.38,26,6.759
Australia,North America and ANZ,7.094600201,50063.56,0.933870435,71.04994202,0.890199602,0.19756107,0.495915741,10.36,15.72,5.11,43.03,80.36,34.4,6.974
Canada,North America and ANZ,6.960700035,47698.51,0.928793311,71.40003967,0.874468148,0.15254651,0.420211405,8.81,13.73,4.01,41.89,78.88,33.3,6.803
New Zealand,North America and ANZ,7.122900009,42696.2,0.95239836,70.35005188,0.886574268,0.174828231,0.271205455,10.69,16.46,5.23,42.88,79.84,,6.952
United States,North America and ANZ,6.893700123,62833.85,0.919162154,65.85025024,0.800488114,0.136504903,0.688594699,9.97,15.44,4.69,47.81,73.26,41.4,6.724
Afghanistan,South Asia,1.858999968,1516.31,0.341340631,54.71240997,0.381641686,-0.081011124,0.847214818,0.013,0.022,0.003,76.31,50.91,,1.364
Bangladesh,South Asia,4.282100201,5912.83,0.544468999,64.54842377,0.845008016,0.005050377,0.698185086,0,0,0,63.9,67.39,32.4,3.851
India,South Asia,4.03579998,6367.67,0.608237445,60.77688217,0.896719217,0.071749955,0.773582876,5.61,9.06,1.89,44.43,66.16,35.7,4.389
Nepal,South Asia,5.360300064,3850.71,0.747856677,61.84700012,0.807949483,0.145935178,0.783375919,0.62,1.1,0.25,36.01,63.87,32.8,5.311
Pakistan,South Asia,4.555399895,5116.98,0.601332664,57.3125,0.765680254,0.007815487,0.78662169,0.31,0.52,0.095,42.51,60.78,31.6,4.768
Sri Lanka,South Asia,4.441599846,13240.13,0.825963318,67.14990234,0.786556125,-0.0299883,0.808490634,2.87,4.75,1.19,41.39,76.58,39.3,3.891
Cambodia,Southeast Asia,4.393499851,4379.91,0.74652946,61.8996315,0.958420157,0.073313929,0.857204616,7.84,12.9,3.21,51.13,70.58,,4.341
Indonesia,Southeast Asia,5.276899815,11910.26,0.803985059,63.04774475,0.880113542,0.531386316,0.875990689,0.22,0.37,0.063,45.93,71.13,38.2,5.617
Laos,Southeast Asia,5.11070013,7804.14,0.678946972,60.94558716,0.918855309,0.090988867,0.702521861,12.08,19.11,5.09,,66.38,38.8,5.301
Malaysia,Southeast Asia,6.012300014,26084.21,0.798607647,65.66233826,0.876727819,0.159587339,0.758468866,0.93,1.48,0.35,57.29,77.35,41.1,5.955
Myanmar,Southeast Asia,4.372499943,4464.76,0.786718249,61.38812256,0.727137327,0.491397202,0.6584481,2.14,3.57,0.85,46.51,66.74,30.7,4.321
Philippines,Southeast Asia,5.522900105,7932.57,0.779932141,62.03751755,0.918547571,-0.059889622,0.732090592,7.02,11.22,2.87,42.46,70.06,42.3,6.107
Singapore,Southeast Asia,6.586699963,106032.18,0.877539694,73.80000305,0.877669573,0.062738985,0.146112382,2,2.92,0.99,27.96,86.89,,6.565
Thailand,Southeast Asia,5.842999935,17179.51,0.87350744,68.449646,0.850337625,0.288653165,0.910390675,8.5,13.75,3.61,39.35,78.92,34.9,6.222
Vietnam,Southeast Asia,5.763299942,10796.08,0.821142972,65.50241852,0.938640594,-0.003642744,0.758844078,7.93,12.84,3.19,46.19,76.99,35.7,6.352
Benin,Sub-Saharan Africa,4.373700142,3305.31,0.437072098,56.0951004,0.743356943,-0.042522572,0.575628281,2.23,3.59,0.9,,53.5,47.8,4.357
Botswana,Sub-Saharan Africa,3.435300112,15204.49,0.753311276,54.72499847,0.742248714,-0.21462056,0.830392063,6.61,11.1,2.61,52.98,59.07,53.3,3.438
Burkina Faso,Sub-Saharan Africa,4.637599945,2136.05,0.663475156,55.46130753,0.696463406,0.095367335,0.77136606,11.05,18.5,3.85,,58.72,35.3,4.383
Cameroon,Sub-Saharan Africa,4.973199844,3702.45,0.686231196,55.84713745,0.68627888,0.014762577,0.846364498,5.52,8.76,2.32,65.24,51.02,46.6,4.887
Chad,Sub-Saharan Africa,4.39659977,1423.86,0.722041845,53.125,0.676734865,0.221161678,0.806712091,1.26,2.07,0.46,,39.17,43.3,4.384
Comoros,Sub-Saharan Africa,3.545200109,3211.82,0.470725268,59.42499924,0.469872296,-0.014281231,0.72699827,1.15,2,0.3,,59.6,45.3,3.754
Congo (Brazzaville),Sub-Saharan Africa,5.267099857,3278.7,0.604605258,56.85004425,0.730041802,-0.004339447,0.739186108,,,,,54.1,48.9,5.03
Congo (Kinshasa),Sub-Saharan Africa,3.20720005,1103.97,0.651609778,55.375,0.663797677,0.085997902,0.833751917,1.1,1.76,0.46,,50.9,42.1,3.469
